"","NAME","AREA","PERIMETER","acres","Deed_Acres","Type","ShapeSourc","coords.x1","coords.x2"
"29","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9641597091085,30.5091874576307
"30","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9623842721665,30.5091874576307
"31","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9606088352244,30.5091874576307
"32","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9588333982824,30.5091874576307
"33","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9748123307608,30.5105808043375
"34","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9730368938187,30.5105808043375
"35","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9712614568767,30.5105808043375
"36","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9694860199346,30.5105808043375
"37","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9677105829926,30.5105808043375
"38","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9659351460506,30.5105808043375
"39","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9641597091085,30.5105808043375
"40","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9623842721665,30.5105808043375
"41","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9606088352244,30.5105808043375
"42","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9588333982824,30.5105808043375
"43","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9730368938187,30.5119741510444
"44","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9712614568767,30.5119741510444
"45","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9694860199346,30.5119741510444
"46","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9677105829926,30.5119741510444
"47","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9659351460506,30.5119741510444
